country,region,economic_classification,pop,wwt_percent
Gibraltar,Western Europe,High income,39329.0,87.39
Greece,Western Europe,High income,10405134.0,78.1
Grenada,Latin America & Caribbean,Upper middle income,117207.0,44.47
Guam,East Asia & Pacific,High income,167777.0,75.13
Guatemala,Latin America & Caribbean,Lower middle income,18406359.0,23.94
Guinea,Sub-Saharan Africa,Low income,14754785.0,0.0
Guinea-Bissau,Sub-Saharan Africa,Low income,2201352.0,0.0
Guyana,Latin America & Caribbean,Upper middle income,831087.0,20.28
Haiti,Latin America & Caribbean,Low income,11772557.0,0.0
Honduras,Latin America & Caribbean,Lower middle income,10825703.0,19.47
Hong Kong SAR,East Asia & Pacific,High income,,74.96
Hungary,Eastern Europe & Central Asia,High income,9562065.0,96.0
Iceland,Western Europe,High income,386506.0,79.65
India,Southern Asia,Lower middle income,1450935791.0,19.2
Indonesia,East Asia & Pacific,Lower middle income,283487931.0,29.77
Iran,Middle East & North Africa,Upper middle income,,21.75
Iraq,Middle East & North Africa,Upper middle income,46042015.0,28.2
Ireland,Western Europe,High income,5395790.0,94.3
Isle of Man,Western Europe,High income,84160.0,81.62
Israel,Middle East & North Africa,High income,9974400.0,92.3
Italy,Western Europe,High income,58952704.0,82.6
Jamaica,Latin America & Caribbean,Upper middle income,2839175.0,33.69
Japan,East Asia & Pacific,High income,123975371.0,70.7
Jordan,Middle East & North Africa,Lower middle income,11552876.0,62.1
Kazakhstan,Eastern Europe & Central Asia,Upper middle income,20592571.0,48.87
Kenya,Sub-Saharan Africa,Lower middle income,56432944.0,0.0
Kiribati,East Asia & Pacific,Lower middle income,134518.0,6.32
North Korea,East Asia & Pacific,Low income,,28.15
South Korea,East Asia & Pacific,High income,,93.0
Kuwait,Middle East & North Africa,High income,4897263.0,88.7
Kyrgyzstan,Eastern Europe & Central Asia,Lower middle income,,8.67
Laos,East Asia & Pacific,Lower middle income,,11.78
Latvia,Eastern Europe & Central Asia,High income,1866124.0,59.0
Lebanon,Middle East & North Africa,Upper middle income,5805962.0,42.8
Lesotho,Sub-Saharan Africa,Lower middle income,2337423.0,0.0
Liberia,Sub-Saharan Africa,Low income,5612817.0,0.0
Libya,Middle East & North Africa,Upper middle income,7381023.0,20.26
Liechtenstein,Western Europe,High income,40450.0,74.33
Lithuania,Eastern Europe & Central Asia,High income,2888278.0,75.9
Luxembourg,Western Europe,High income,677012.0,87.8
Macao SAR,East Asia & Pacific,High income,,85.62
North Macedonia,Eastern Europe & Central Asia,Upper middle income,1824359.0,33.66
Madagascar,Sub-Saharan Africa,Low income,31964956.0,0.0
Malawi,Sub-Saharan Africa,Low income,21655286.0,0.0
Malaysia,East Asia & Pacific,Upper middle income,35557673.0,22.9
Maldives,Southern Asia,Upper middle income,527799.0,37.08
Mali,Sub-Saharan Africa,Low income,24478595.0,0.0
Malta,Middle East & North Africa,High income,568847.0,100.0
Marshall Islands,East Asia & Pacific,Upper middle income,37548.0,30.77
Mauritania,Sub-Saharan Africa,Lower middle income,5169395.0,0.0
Mauritius,Sub-Saharan Africa,Upper middle income,1245779.0,40.9
Mexico,Latin America & Caribbean,Upper middle income,130861007.0,43.4
Micronesia (Fed. States of),East Asia & Pacific,Lower middle income,,16.09
Moldova,Eastern Europe & Central Asia,Lower middle income,2402306.0,16.6
Monaco,Western Europe,High income,38631.0,99.69
Mongolia,East Asia & Pacific,Lower middle income,3524788.0,36.88
Montenegro,Eastern Europe & Central Asia,Upper middle income,623525.0,30.6
Morocco,Middle East & North Africa,Lower middle income,38081173.0,38.0
Mozambique,Sub-Saharan Africa,Low income,34631766.0,0.0
Myanmar,East Asia & Pacific,Lower middle income,54500091.0,0.0
Namibia,Sub-Saharan Africa,Upper middle income,3030131.0,20.7
Nauru,East Asia & Pacific,Upper middle income,11947.0,43.22
Nepal,Southern Asia,Low income,29651054.0,0.0
Netherlands,Western Europe,High income,17993485.0,97.0
New Caledonia,East Asia & Pacific,High income,292639.0,61.96
New Zealand,East Asia & Pacific,High income,5287500.0,61.8
Nicaragua,Latin America & Caribbean,Lower middle income,6916140.0,33.3
Niger,Sub-Saharan Africa,Low income,27032412.0,0.0
Nigeria,Sub-Saharan Africa,Lower middle income,232679478.0,3.4
Northern Mariana Islands,East Asia & Pacific,High income,44278.0,63.79
Norway,Western Europe,High income,5572279.0,76.1
Oman,Middle East & North Africa,High income,5281538.0,33.07
Pakistan,Southern Asia,Lower middle income,251269164.0,7.9
Palau,East Asia & Pacific,High income,17695.0,55.17
Panama,Latin America & Caribbean,Upper middle income,4515577.0,29.6
Papua New Guinea,East Asia & Pacific,Lower middle income,10576502.0,0.0
Paraguay,Latin America & Caribbean,Upper middle income,6929153.0,4.8
Peru,Latin America & Caribbean,Upper middle income,34217848.0,56.3
Philippines,East Asia & Pacific,Lower middle income,115843670.0,2.8
Poland,Eastern Europe & Central Asia,High income,36559233.0,67.4
Portugal,Western Europe,High income,10694681.0,76.8
Puerto Rico,Latin America & Caribbean,High income,,69.46
Qatar,Middle East & North Africa,High income,2857822.0,89.3
Romania,Eastern Europe & Central Asia,Upper middle income,19051804.0,45.7
Russia,Eastern Europe & Central Asia,Upper middle income,143533851.0,55.1
Rwanda,Sub-Saharan Africa,Low income,14256567.0,0.0
Samoa,East Asia & Pacific,Upper middle income,218019.0,25.25
San Marino,Western Europe,High income,33977.0,83.93
Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,235536.0,6.74
Saudi Arabia,Middle East & North Africa,High income,35300280.0,62.1
Senegal,Sub-Saharan Africa,Low income,18501984.0,8.65
Serbia,Eastern Europe & Central Asia,Upper middle income,6586476.0,14.8
Seychelles,Sub-Saharan Africa,High income,121354.0,49.7
Sierra Leone,Sub-Saharan Africa,Low income,8642022.0,0.0
Singapore,East Asia & Pacific,High income,6036860.0,100.0
Sint Maarten (Dutch part),Latin America & Caribbean,High income,43350.0,66.33
Slovakia,Eastern Europe & Central Asia,High income,,57.3
Slovenia,Eastern Europe & Central Asia,High income,2127400.0,42.5
Solomon Islands,East Asia & Pacific,Lower middle income,819198.0,0.0
Somalia,Sub-Saharan Africa,Low income,,0.0
South Africa,Sub-Saharan Africa,Upper middle income,64007187.0,42.3
South Sudan,Sub-Saharan Africa,Low income,11943408.0,0.0
Spain,Western Europe,High income,48848840.0,71.0
Sri Lanka,Southern Asia,Lower middle income,21916000.0,1.11
St. Kitts and Nevis,Latin America & Caribbean,High income,46843.0,46.05
St. Lucia,Latin America & Caribbean,Upper middle income,179744.0,34.65
St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,100616.0,36.07
Sudan,Sub-Saharan Africa,Lower middle income,50448963.0,0.0
Suriname,Latin America & Caribbean,Upper middle income,634431.0,39.61
Swaziland,Sub-Saharan Africa,Lower middle income,,6.41
Sweden,Western Europe,High income,10569709.0,79.8
Switzerland,Western Europe,High income,9005582.0,93.9
Syria,Middle East & North Africa,Lower middle income,24672760.0,7.21
Taiwan,East Asia & Pacific,High income,,16.2
Tajikistan,Eastern Europe & Central Asia,Lower middle income,10590927.0,5.17
Tanzania,Sub-Saharan Africa,Low income,68560157.0,0.0
Thailand,East Asia & Pacific,Upper middle income,71668011.0,18.1
Timor-Leste,East Asia & Pacific,Lower middle income,1400638.0,8.68
Togo,Sub-Saharan Africa,Low income,9515236.0,0.0
Tonga,East Asia & Pacific,Upper middle income,104175.0,27.57
Trinidad and Tobago,Latin America & Caribbean,High income,1368333.0,4.2
Tunisia,Middle East & North Africa,Lower middle income,12277109.0,73.7
Turkey,Eastern Europe & Central Asia,Upper middle income,,60.7
Turkmenistan,Eastern Europe & Central Asia,Upper middle income,7494498.0,34.12
Turks and Caicos Islands,Latin America & Caribbean,High income,46535.0,68.46
Tuvalu,East Asia & Pacific,Upper middle income,9646.0,28.56
Uganda,Sub-Saharan Africa,Low income,50015092.0,0.0
Ukraine,Eastern Europe & Central Asia,Lower middle income,37860221.0,34.18
United Arab Emirates,Middle East & North Africa,High income,10986400.0,100.0
United Kingdom,Western Europe,High income,69226000.0,85.8
United States,North America,High income,340110988.0,67.7
Uruguay,Latin America & Caribbean,High income,3386588.0,26.3
Uzbekistan,Eastern Europe & Central Asia,Lower middle income,36361859.0,23.52
Vanuatu,East Asia & Pacific,Lower middle income,327777.0,7.06
Venezuela,Latin America & Caribbean,Upper middle income,,32.0
Vietnam,East Asia & Pacific,Lower middle income,100987686.0,10.0
